Genotype,A,Ci,gsw,Treatment,E,intrWUE_AE,instWUE_AGs,Species
b42-34,12.1191560445959,231.291501920157,0.148657555231763,Control,5.36442345640338,2.25917214460941,81.5239832627519,cinerea
b42-34,10.3420480019006,221.983702252189,0.11433495903619,Control,3.80215458842775,2.72004931976666,90.4539441749137,cinerea
b42-34,13.4898492517785,230.802634839143,0.164153370696104,Control,5.20413192102237,2.5921420625956,82.1783262480318,cinerea
b42-34,14.9380726651655,247.741549462373,0.228472413404151,Control,9.50130754582603,1.57221230794996,65.3823909967683,cinerea
b42-34,7.92825309847221,221.848897797755,0.0860204451955202,Control,3.07337416814745,2.57965762211477,92.1670781923029,cinerea
b42-34,13.1577736043105,226.978904612157,0.165370429421921,Control,7.64188539822843,1.72179677116864,79.5654558696231,cinerea
b42-34,12.5919723141345,240.130334305155,0.162728178607761,Control,4.90911431163074,2.56501916940525,77.3804046838507,cinerea
NY1,4.28000529742465,40.5076100729166,0.0201612384305803,Drought,0.742751173307637,5.76236760201243,212.288809150374,riparia
NY1,16.1490066052418,237.055918941189,0.203583548889708,Control,4.22032094238132,3.82648780169067,79.323730690983,riparia
NY1,16.0572248072414,225.576286517589,0.18698788309163,Control,4.37736873424822,3.66823673811411,85.8730765959463,riparia
NY1,4.28530531668495,210.797610829508,0.0443557924180754,Control,2.47427542935032,1.73194352813428,96.6120788981475,riparia
NY1,15.859540545181,206.033553235861,0.161669024048201,Control,4.0638415664957,3.90259814160444,98.0988203432993,riparia
NY1,12.6571555648432,249.191685187245,0.177862502474004,Control,5.47001773116094,2.31391490611437,71.1625856422049,riparia
NY1,16.7831638639249,240.622548790806,0.222375698945321,Control,5.17896525893262,3.24064036440049,75.4721129310611,riparia
NY1,10.8627340050778,202.208022868208,0.111812714193295,Control,5.60713249166444,1.93730646123064,97.1511521158401,riparia
NY1,12.0241329693029,178.929753035695,0.09950569426142,Control,2.03828934887599,5.89912956957442,120.838642035031,riparia
NY1,4.0207257359042,141.392728398538,0.0269744144707676,Drought,0.90663823305533,4.43476305025714,149.057016242614,riparia
NY1,5.13759674731164,153.877539994453,0.0367621858243736,Drought,1.20939538663658,4.24807040284791,139.752210922817,riparia
NY1,7.41908587932686,164.35382878743,0.056643163808425503,Drought,1.8258036972677,4.06346306036594,130.979369450816,riparia
NY1,10.0163962097257,198.37773653671,0.0928570356882277,Control,2.58959970667806,3.86793224601294,107.869006753094,riparia
NY1,5.49563194067559,193.094245121882,0.046929697552973,Control,1.10080829506007,4.99236058207183,117.10350220076,riparia
NY1,9.37972735618773,21.2413231181285,0.0420972823174535,Control,1.03287725792952,9.08116359826737,222.810757365658,riparia
NY1,13.6051128962706,250.714900343311,0.195939910094253,Control,5.97676630718863,2.27633342128617,69.4351288092667,riparia
NY1,2.01388653102254,163.505264960688,0.0157182597418734,Drought,0.982010128946053,2.05077979509637,128.12401398722,riparia
NY1,2.40841659598013,168.66772879929,0.0193844590289955,Drought,1.21606190924846,1.98050492138888,124.244715438156,riparia
NY1,1.75797794475211,50.1101944318388,0.00843169961075382,Drought,0.319268039015498,5.50627601238461,208.496273101331,riparia
NY1,3.71446834238762,220.452075373411,0.0378194877394935,Drought,1.25707636617185,2.95484701036838,98.2157232793172,riparia
NY1,3.76904879278562,167.30482797216,0.0288430728327807,Drought,1.11196954500807,3.38952519851457,130.674315272748,riparia
NY1,4.33729140530438,198.72331977428,0.0394054831334009,Drought,1.49211464567476,2.90680841306466,110.068220471277,riparia
T48,19.7893257974165,284.095613416561,0.431316403149359,Control,7.78888383470218,2.54071394790204,45.8812269900242,mustangensis
T48,-0.110860791706118,387.854868903068,0.0062806413975714,Drought,0.401512519382679,-0.276107932765247,-17.6511895343978,mustangensis
T48,-0.073983658524144,382.579228344962,0.00473636490286587,Drought,0.320217369595828,-0.231041990687528,-15.6203459913695,mustangensis
T48,15.0442238541316,302.301899305469,0.396032781489036,Control,7.71621162679068,1.9496904156825,37.987319629368,mustangensis
T48,-0.405113864796801,578.483688962328,0.00301175638188542,Drought,0.142269864555477,-2.84750299061984,-134.510834685504,mustangensis
T48,-0.375802935119401,738.56303167611,0.00157258716970946,Drought,0.0766149244744496,-4.90508784936188,-238.971131367447,mustangensis
T48,-0.0947521200599011,408.85044532428,0.00380262131190522,Drought,0.180560489843851,-0.524766631624908,-24.917579818756,mustangensis
T48,1.0173034615965,163.968770256043,0.00763224339259732,Drought,0.353277789204222,2.87961341664878,133.290227953579,mustangensis
T48,-0.00861686649112043,361.898325173319,0.00496925418181396,Drought,0.331874344327749,-0.0259642441134608,-1.73403617038864,mustangensis
T48,7.10750168532155e-4,360.680136235958,0.00344837901622689,Drought,0.220228277349567,0.00322733382418456,0.206111383112938,mustangensis
T48,1.28206767717919,171.094123672443,0.00965392106874409,Drought,0.303129305326872,4.22944154408529,132.80279256996,mustangensis
T48,9.53560867789576,218.859065626452,0.110165942273712,Control,5.83926241167028,1.63301595400782,86.5567749986119,mustangensis
T48,12.0838500233854,234.940786170659,0.161685458942178,Control,7.77133616202167,1.55492566161774,74.736776593539,mustangensis
T48,15.4769704638289,229.036761532091,0.182605741644274,Control,4.0427428256444,3.82833416106846,84.7562093309139,mustangensis
T48,20.1602769782178,274.366986529703,0.382690570361308,Control,6.43454247701712,3.13313293839092,52.6803599032608,mustangensis
T48,9.41049159001858,206.192838019463,0.0944643157595316,Control,3.72169378481653,2.52855074439782,99.6195390222688,mustangensis
T48,10.9095033494,226.530460334274,0.127198523205763,Control,4.64636220794254,2.34796661585082,85.7675315282727,mustangensis
T48,10.9743146124773,91.6913730825725,0.0620461897633201,Control,1.39316169503259,7.87727271831184,176.873304458173,mustangensis
T48,12.7387544808526,188.666877776775,0.11171799541807,Control,2.22465105634065,5.72618094174584,114.025985099193,mustangensis
T52,-0.182095811412105,407.989145067952,0.00578720333019898,Drought,0.379569418160182,-0.479743105476583,-31.4652520435712,aestivalis
T52,-0.135715109222696,644.733970913743,7.7283586862048e-4,Drought,0.0336668428582083,-4.03112076158359,-175.606638787287,aestivalis
T52,0.349851765074816,308.356610269472,0.00812070832975128,Drought,0.31583277602939003,1.1077120287296,43.0814346321353,aestivalis
T52,5.78553865399696,202.701799974954,0.0556164684081191,Control,2.4653449139052,2.3467461373721,104.025638800761,aestivalis
T52,6.44531629101575,217.629220732841,0.0681653195466699,Control,2.82167215877432,2.28421869315089,94.554185821764,aestivalis
T52,6.42597834841093,218.976982723976,0.0684535136796255,Control,2.79644625016173,2.2979087647543,93.873608570126,aestivalis
T52,7.39391503089528,227.788034098037,0.0850226502861164,Control,3.50933275751321,2.10692902092727,86.9640620001075,aestivalis
T52,3.26857316290015,161.996670717796,0.0255185364714579,Drought,1.57293630487927,2.07800732474735,128.086231220822,aestivalis
T52,3.28993966436915,175.873327247195,0.027672580592008,Drought,1.70493932554746,1.92965204982456,118.8880687665,aestivalis
T52,8.81302764466426,169.108593092315,0.0689792898312315,Drought,1.94557972897115,4.52976946327699,127.763386173251,aestivalis
T52,0.00265610027223093,358.231123999607,0.00329145671403447,Drought,0.219042028608924,0.0121259846299776,0.806968009302859,aestivalis
T52,10.4493165371949,190.040720111672,0.0936577788691448,Control,2.94208010039209,3.5516764264176,111.569126060466,aestivalis
T52,13.6138626004072,270.232357313604,0.230977033757747,Control,5.74228316685498,2.3708100427697,58.9403300359534,aestivalis
T52,4.48253439598202,190.709446596228,0.0409361398303647,Control,2.30193753231113,1.94728759276173,109.500661629484,aestivalis
T52,6.35519245447394,201.396662367102,0.0629369059199502,Control,3.44033745668836,1.84725845487012,100.977198697329,aestivalis
T52,9.79145648296975,159.251231618389,0.0735546845527437,Drought,2.08228908451428,4.7022560679915,133.118054172996,aestivalis
T52,11.6110708136901,194.695432175257,0.106984838047282,Control,3.00990238847405,3.85762370838102,108.530059264647,aestivalis
T52,12.1974149514112,233.602437122475,0.146045224969176,Control,3.83488384759504,3.18064782041849,83.5180674615385,aestivalis
T52,-0.0262158691124969,404.281313660569,0.0015126285249226,Drought,0.0551193935286692,-0.475619694524782,-17.3313332920509,aestivalis
TXNM0821,1.87995444228085,91.3799225077326,0.0103935524820648,Drought,0.436478303151505,4.30709711962086,180.876985566284,hybrid
TXNM0821,3.28751351524002,155.455694573622,0.0237623454100695,Drought,0.96120132604117,3.42021325415776,138.349706584389,hybrid
TXNM0821,9.5371691908895,228.885213988024,0.107129494050503,Control,2.87204052448616,3.32069450607623,89.0246824688026,hybrid
TXNM0821,9.59050191344685,214.559517300911,0.09776209945657,Control,2.65020681284869,3.61877490728284,98.1004087141904,hybrid
TXNM0821,7.64748019198374,207.643259487486,0.0749176460492287,Control,2.58059281193834,2.96345868926122,102.078490119118,hybrid
TXNM0821,14.9686059203885,228.491898441651,0.178999058378952,Control,4.88786785821294,3.06239987548707,83.6239366617175,hybrid
TXNM0821,5.08868773444837,149.906673960111,0.0362627547824988,Drought,1.45088933847039,3.50728866738601,140.328217339524,hybrid
TXNM0821,5.73575647280558,187.543586394231,0.0496087559549796,Drought,1.93264870201695,2.96782155330124,115.619840941201,hybrid
TXNM0821,3.67366793025604,67.4915655522446,0.0185367527465246,Drought,0.490609716943588,7.48796406467924,198.182927748486,hybrid
TXNM0821,4.34869433985365,62.6487887271362,0.0216767390644797,Drought,0.576709252395162,7.54053159680177,200.615707321937,hybrid
TXNM0821,8.34763322036455,102.660960303538,0.0485257761726792,Control,1.1508918459766,7.2531865175229,172.024723327649,hybrid
TXNM0821,11.6023177042953,198.553655759857,0.107349238874673,Control,2.3808016678496,4.87328191212786,108.080111474667,hybrid
TXNM0821,7.58716763566598,225.222068615419,0.0848762223400858,Drought,3.24266394411331,2.33979461530068,89.3909675346457,hybrid
TXNM0821,10.8134908768232,239.828021487725,0.140399341015276,Drought,5.10766486205385,2.11711049351719,77.019527289994,hybrid
TXNM0821,7.72806411710892,156.864576853173,0.0598995262428655,Control,3.25233206722526,2.37616084623922,129.017115857897,hybrid
TXNM0821,10.5351716932091,183.922083315058,0.0967458820728168,Control,5.06043112468117,2.08187236099827,108.895298357812,hybrid
TXNM0821,4.70760961724158,187.859536560671,0.042075265993109,Control,2.2643909150037,2.07897390245177,111.885439250998,hybrid
TXNM0821,6.55183210286583,208.451757914388,0.0676009044531763,Control,3.52866767247952,1.85674387927328,96.9192965074003,hybrid
TXNM0821,1.59557295281638,226.57745224221,0.0182976772338522,Drought,1.13423854432427,1.40673490669193,87.2008469940896,hybrid
TXNM0821,1.98811185317007,200.373173179666,0.0191427242589758,Drought,1.19721898908417,1.66060835260466,103.857310290507,hybrid
V60-96,11.6195988420279,173.230179049553,0.0936697417251975,Control,2.16328947112424,5.37126399269596,124.048584185454,vulpina
V60-96,0.400323881965057,322.156828593423,0.0151742085232281,Drought,0.908653735558176,0.440568135362523,26.3818624445721,vulpina
V60-96,1.50247802428607,210.306070711892,0.0151816698459881,Drought,0.894625769565156,1.67944863137172,98.9665853313965,vulpina
V60-96,13.99445019362,231.187624685828,0.163358178594296,Control,3.14223161161162,4.45366603209824,85.667276129318,vulpina
V60-96,16.0920330761802,232.00612560201,0.195578917173516,Control,4.26270718843301,3.77507353070049,82.2789762247402,vulpina
V60-96,9.70451659322904,245.540911447893,0.127975322367703,Control,4.19002987965175,2.31609722889032,75.8311556766053,vulpina
V60-96,3.41554039377825,102.461524153969,0.0193937805395578,Drought,0.510963118989248,6.68451453117523,176.11524410166,vulpina
V60-96,5.51845046953182,153.311467011082,0.0390049348290514,Drought,1.04424583673209,5.28462769533419,141.480827841856,vulpina
V60-96,3.83811999114579,175.750377561549,0.0306153880121029,Drought,1.16966410457145,3.28138649048483,125.365714444922,vulpina
V60-96,6.21563916511188,184.321040973374,0.0525297170402959,Drought,1.857307841874,3.34658532364801,118.326149755267,vulpina
V60-96,3.31605158343422,165.709586469396,0.025088016889437,Drought,0.973590087943732,3.40600384545602,132.176712015464,vulpina
V60-96,5.09974456503109,193.285308854775,0.0449456405771008,Drought,1.6155669724612,3.15662838617083,113.464720928448,vulpina
V60-96,10.2869336175261,239.131165351991,0.125003666590047,Control,3.12596907272176,3.29079827030066,82.2930550610361,vulpina
V60-96,-0.298046385687711,514.4669615863,0.00355248547440809,Drought,0.097339441456312,-3.06192825054868,-83.8979885589458,vulpina
V60-96,16.287217211526,255.452837331365,0.252173115609819,Control,6.82634198235414,2.38593631166266,64.5874449071994,vulpina
V60-96,5.33105178943729,145.090422698748,0.0388831262543641,Control,2.39424404618886,2.22661169312428,137.104505295249,vulpina
V60-96,6.66969253834428,158.103157857486,0.0520198776657454,Control,3.01124256951019,2.21493034333304,128.214306484927,vulpina
V60-96,5.88856560740399,197.799739011738,0.0571414296972229,Control,3.26998679591082,1.80079186092364,103.052472411102,vulpina
V60-96,7.03351239992414,192.287645267024,0.0665407161221552,Control,3.75790661360203,1.87165704822621,105.702385093242,vulpina
Vru42,0.0169892389515082,380.094089472766,0.0137276740973742,Drought,0.391230162058979,0.0434251767862085,1.23759049282484,rupestris
Vru42,13.4178212442024,263.997641261515,0.216699391421503,Control,5.95645377192539,2.25265262822063,61.9190536539317,rupestris
Vru42,13.3929025697566,55.7207265067303,0.0676730072857233,Control,1.41557274812355,9.46111924484978,197.906123976584,rupestris
Vru42,3.87603821309278,248.676949226649,0.0486938141064935,Drought,1.65541122428142,2.34143526166756,79.600217896587,rupestris
Vru42,4.45660948462058,223.685943029287,0.0469531389308145,Drought,1.62201192933782,2.74758120086083,94.9161139404844,rupestris
Vru42,0.338553981726117,269.875334227959,0.0050036176633872,Drought,0.196822965289057,1.72009389874252,67.6618407923943,rupestris
Vru42,1.47685759097671,231.464968105276,0.0160612177514704,Drought,0.59418496989236,2.48551825746157,91.9517818529983,rupestris
Vru42,-0.188502306039491,420.69961502475,0.00739000894447504,Drought,0.228777246642996,-0.823955654705674,-25.5077236652629,rupestris
Vru42,11.1833376788422,240.312750870364,0.142614125074254,Control,4.4323371584018,2.52312432000878,78.4167604227102,rupestris
Vru42,13.9513604060314,253.256250065662,0.205393587942181,Control,5.90800629297376,2.36143289532771,67.9250046012085,rupestris
Vru42,15.5703976756263,49.5790963073988,0.0773806361603433,Control,1.28426266664589,NA,201.218269172177,rupestris
Vru42,11.6297905297497,253.390754409762,0.167756150703089,Control,5.24575518104286,2.21699071504089,69.325568576816,rupestris
Vru42,-0.00747259822975805,381.861858513974,0.00507644951144934,Drought,0.164204920492233,-0.0455077607136109,-1.47201271536425,rupestris
Vru42,0.192107892907631,318.930681675988,0.00493059099356244,Drought,0.15968615681292,1.20303410603522,38.9624475358946,rupestris
Vru42,-1.06585451815691,470.563246867846,0.0150370280569746,Drought,0.945693178325614,-1.12706165444066,-70.8819930453304,rupestris
Vru42,0.660857577118704,270.820762114783,0.0112262103919069,Drought,0.704650808670504,0.937851158314249,58.8673785764005,rupestris
Vru42,9.57839449149832,199.87277347824,0.0968100494271397,Control,5.18034312602118,1.84898842769419,98.9400847141094,rupestris
Vru42,12.8519352246078,208.363966536676,0.140911009819614,Control,6.95279518355168,1.84845589224486,91.2060401884857,rupestris
Vru42,8.96919445654472,222.15153108231,0.105219672061745,Control,5.49095478785784,1.63344897254997,85.2425623535627,rupestris
Vru42,9.02387756410756,209.332318143227,0.0966606894905825,Control,5.14225390587772,1.75484869655951,93.3562300420663,rupestris
