"","X","ID","Genotype","Treatment","Date","LWP","SWP","PD","LWP.area","SWP.area","PD.area","species_geno"
"128",373,"9018.10","9018","Control","12/11-18","14,300","11,2",6,60.17694444,41.97506944,68.86006944,"9018"
"129",374,"9018.4","9018","Drought","12/11-18","14,900","11,7",9.5,38.78645833,38.99868056,44.23993056,"9018"
"130",375,"9035.8","9035","Control","12/11-18","10,800","6,7",8,86.94041667,56.25263889,86.90375,"9035"
"131",377,"b40-14.9","b40-14","Control","12/11-18","14,900","5,6",6.5,37.88159722,41.04576389,28.82472222,"b40-14"
"132",378,"b42-34.10","b42-34","Control","12/11-18","6,000","11,5",11,40.41527778,41.22638889,34.84652778,"b42-34"
"133",379,"NY1.2","NY1","Drought","12/11-18","13,000","11,0",8.3,56.05805556,50.07680556,60.57486111,"NY1"
"134",380,"NY1.8","NY1","Control","12/11-18","10,500","12,0",6.3,85.02076389,58.045,95.18388889,"NY1"
"135",381,"SC2.4","SC2","Drought","12/11-18","14,200","10,8",8,47.2125,52.54416667,NA,"SC2"
"136",382,"SC2.8","SC2","Control","12/11-18","11,200","8,5",4.9,71.75736111,103.4915972,78.31333333,"SC2"
"137",383,"T48.1","T48","Drought","12/11-18","12,000","6,3",7.1,48.32583333,49.06354167,49.23986111,"T48"
"138",384,"T48.8","T48","Control","12/11-18","10,000","6,3",6.1,84.13388889,43.19979167,68.004375,"T48"
"139",385,"T52.10","T52","Control","12/11-18","11,500","6,4",5.5,54.18354167,46.335625,63.95388889,"T52"
"140",386,"TX6704.8","TX6704","Control","12/11-18","12,800","13,3",6.3,44.49027778,37.53805556,55.76020833,"TX6704"
"141",387,"TXNM0821.2","TXNM0821","Drought","12/11-18","12,000","8,6",8,65.27694444,54.54930556,65.11416667,"TXNM0821"
"142",388,"TXNM0821.9","TXNM0821","Control","12/11-18","11,500","6,2",3.9,73.085625,38.71291667,85.65472222,"TXNM0821"
"143",389,"V60-96.2","V60-96","Drought","12/11-18","13,500","10,6",8,18.29583333,22.52402778,26.24201389,"V60-96"
"144",390,"V60-96.6","V60-96","Control","12/11-18","9,500","7,4",5.4,50.18833333,28.48291667,110.8589583,"V60-96"
"145",391,"Vru42.8","Vru42","Control","12/11-18","14,600","10,1",7.5,32.62979167,42.36888889,61.48534722,"Vru42"
