"","ID","Genotype","Species","Treatment","Order.within.block","mPot..kg.","Dry.weight.of.soil..kg.","mH2O..kg.","Date","PWW","WA","BB","TW","POWW","PD.WT","midday.WT","POWW.NOTES","WU","tgt_swc","SWC","species_geno"
"110","9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"10/30",5.072,0.402399257,1,5.624399257,NA,NA,NA,NA,0.2454621168,0.8,0.539429734530296,"acerifolia_9018"
"111","9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"11/02",4.99,0.634399257,1,5.624399257,5.62,NA,NA,NA,0.2558621168,0.8,0.528446779610015,"acerifolia_9018"
"112","9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"11/04",5.21,0.414399257,1,5.624399257,5.62,NA,NA,NA,0.1675,0.8,0.704174058334522,"acerifolia_9018"
"113","9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"11/06",5.27,0.215959146,1,5.485959146,5.48,NA,NA,NA,0.214,0.8,0.749579449865536,"acerifolia_9018"
"114","9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"11/09",4.86,0.625959146,1,5.485959146,5.48,NA,NA,NA,0.368,0.8,0.655409789284638,"acerifolia_9018"
"115","9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"11/11",5.05,0.435959146,1,5.485959146,5.48,NA,NA,NA,0.260000000000001,0.8,0.698883985844086,"acerifolia_9018"
"116","9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"11/13",5,0.485959146,1,5.485959146,5.48,NA,NA,NA,0.332,0.8,0.687443407802126,"acerifolia_9018"
"117","9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"11/20",5.44,0.264479573,1,5.704479573,5.7,NA,NA,NA,0.5425,0.9,0.952864818421362,"acerifolia_9018"
"118","9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"11/23",4.71,0.994479573,1,5.704479573,5.7,NA,NA,NA,0.742,0.9,0.671426598589144,"acerifolia_9018"
"119","9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"11/25",4.92,0.784479573,1,5.704479573,5.7,NA,NA,NA,0.578258078,0.9,0.719477026365376,"acerifolia_9018"
"120","9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"11/27",4.8445,0.859979573,1,5.704479573,5.764,NA,NA,NA,0.6869,0.9,0.702201753522017,"acerifolia_9018"
"121","9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"11/30",5.57,0.134479573,1,5.704479573,5.7,NA,NA,NA,0.4877,0.9,0.882848480804566,"acerifolia_9018"
"122","9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"12/02",5.51,0.194479573,1,5.704479573,5.71,NA,NA,NA,0.604829039,0.9,0.854475847260505,"acerifolia_9018"
"123","9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"12/04",5.3,0.404479573,1,5.704479573,5.71,NA,NA,NA,0.824829039,0.9,0.808713535092665,"acerifolia_9018"
