"","ID","species_geno","Treatment","Date","WPType","WP","Date_group"
"173","NY1.8","NY1","Control","11/17","LWP",14.9,"Nov 16 to 18"
"174","SC2.8","SC2","Control","11/17","LWP",11.4,"Nov 16 to 18"
"175","T48.1","T48","Drought","11/17","LWP",11.3,"Nov 16 to 18"
"176","T52.10","T52","Control","11/17","LWP",9.2,"Nov 16 to 18"
"177","T52.4","T52","Drought","11/17","LWP",12.4,"Nov 16 to 18"
"178","TX6704.8","TX6704","Control","11/17","LWP",12.4,"Nov 16 to 18"
"179","TXNM0821.9","TXNM0821","Control","11/17","LWP",8.4,"Nov 16 to 18"
"180","V60-96.6","V60-96","Control","11/17","LWP",10.6,"Nov 16 to 18"
"181","Vru42.2","Vru42","Drought","11/17","LWP",12.1,"Nov 16 to 18"
"182","9018.1","9018","Drought","11/17","LWP",8.2,"Nov 16 to 18"
"183","9018.9","9018","Control","11/17","LWP",7.6,"Nov 16 to 18"
"184","9031.6","9031","Control","11/17","LWP",11.9,"Nov 16 to 18"
"185","9035.3","9035","Drought","11/17","LWP",9.8,"Nov 16 to 18"
"186","9035.9","9035","Control","11/17","LWP",7.6,"Nov 16 to 18"
"187","b40-14.5","b40-14","Drought","11/17","LWP",12.5,"Nov 16 to 18"
"188","b40-14.7","b40-14","Control","11/17","LWP",12.4,"Nov 16 to 18"
"189","b42-34.4","b42-34","Drought","11/17","LWP",13.4,"Nov 16 to 18"
"190","b42-34.7","b42-34","Control","11/17","LWP",9.6,"Nov 16 to 18"
"191","NY1.10","NY1","Control","11/17","LWP",14.1,"Nov 16 to 18"
"192","NY1.4","NY1","Drought","11/17","LWP",10.2,"Nov 16 to 18"
"193","SC2.1","SC2","Control","11/17","LWP",6.4,"Nov 16 to 18"
"194","T48.10","T48","Control","11/17","LWP",9.3,"Nov 16 to 18"
"195","T48.3","T48","Drought","11/17","LWP",10.5,"Nov 16 to 18"
"196","T52.5","T52","Drought","11/17","LWP",11.9,"Nov 16 to 18"
"197","T52.8","T52","Control","11/17","LWP",8.3,"Nov 16 to 18"
"198","TX6704.2","TX6704","Drought","11/17","LWP",12.5,"Nov 16 to 18"
"199","TX6704.7","TX6704","Control","11/17","LWP",9.7,"Nov 16 to 18"
"200","TXNM0821.1","TXNM0821","Drought","11/17","LWP",7.9,"Nov 16 to 18"
"201","TXNM0821.5","TXNM0821","Control","11/17","LWP",9,"Nov 16 to 18"
"202","TXNM0821.8","TXNM0821","Drought","11/17","LWP",7.5,"Nov 16 to 18"
"203","V60-96.4","V60-96","Drought","11/17","LWP",8.8,"Nov 16 to 18"
"204","V60-96.9","V60-96","Control","11/17","LWP",8.8,"Nov 16 to 18"
"205","Vru42.3","Vru42","Drought","11/17","LWP",11.2,"Nov 16 to 18"
"206","Vru42.9","Vru42","Control","11/17","LWP",8.9,"Nov 16 to 18"
"207","9018.2","9018","Drought","11/17","LWP",10,"Nov 16 to 18"
"208","9018.7","9018","Control","11/17","LWP",8.9,"Nov 16 to 18"
"209","9031.8","9031","Control","11/17","LWP",12.5,"Nov 16 to 18"
"210","9035.4","9035","Drought","11/17","LWP",11.7,"Nov 16 to 18"
"211","9035.6","9035","Control","11/17","LWP",7.9,"Nov 16 to 18"
"212","b40-14.8","b40-14","Control","11/17","LWP",12.2,"Nov 16 to 18"
"213","b42-34.8","b42-34","Control","11/17","LWP",8.8,"Nov 16 to 18"
"214","NY1.3","NY1","Drought","11/17","LWP",13.4,"Nov 16 to 18"
"215","NY1.7","NY1","Control","11/17","LWP",10.1,"Nov 16 to 18"
"216","SC2.2","SC2","Drought","11/17","LWP",12.5,"Nov 16 to 18"
"217","SC2.6","SC2","Control","11/17","LWP",6.8,"Nov 16 to 18"
"218","T48.5","T48","Drought","11/17","LWP",9.6,"Nov 16 to 18"
"219","T48.9","T48","Control","11/17","LWP",10.3,"Nov 16 to 18"
"220","T52.2","T52","Drought","11/17","LWP",9.7,"Nov 16 to 18"
"221","T52.9","T52","Control","11/17","LWP",12.1,"Nov 16 to 18"
"222","TX6704.10","TX6704","Control","11/17","LWP",7.8,"Nov 16 to 18"
"223","TX6704.4","TX6704","Drought","11/17","LWP",12.2,"Nov 16 to 18"
"224","TXNM0821.6","TXNM0821","Control","11/17","LWP",8.9,"Nov 16 to 18"
"225","Vru42.7","Vru42","Control","11/17","LWP",10.4,"Nov 16 to 18"
"226","9018.5","9018","Drought","12/1","LWP",11.1,"Dec 01 to 03"
"227","9018.6","9018","Control","12/1","LWP",13.8,"Dec 01 to 03"
"228","9031.10","9031","Control","12/1","LWP",14.9,"Dec 01 to 03"
"229","9031.11","9031","Control","12/1","LWP",14,"Dec 01 to 03"
"230","b40-14.1","b40-14","Drought","12/1","LWP",12,"Dec 01 to 03"
"231","b40-14.10","b40-14","Control","12/1","LWP",10.6,"Dec 01 to 03"
"232","b42-34.2","b42-34","Drought","12/1","LWP",14.9,"Dec 01 to 03"
"233","b42-34.6","b42-34","Control","12/1","LWP",14.9,"Dec 01 to 03"
"234","SC2.5","SC2","Drought","12/1","LWP",14.1,"Dec 01 to 03"
"235","SC2.7","SC2","Control","12/1","LWP",11.9,"Dec 01 to 03"
"236","T48.4","T48","Drought","12/1","LWP",10.5,"Dec 01 to 03"
"237","T48.7","T48","Control","12/1","LWP",9.7,"Dec 01 to 03"
"238","T52.3","T52","Drought","12/1","LWP",13.5,"Dec 01 to 03"
"239","T52.7","T52","Control","12/1","LWP",10.7,"Dec 01 to 03"
"240","TX6704.1","TX6704","Drought","12/1","LWP",13.6,"Dec 01 to 03"
"241","TX6704.6","TX6704","Control","12/1","LWP",13.2,"Dec 01 to 03"
"242","TXNM0821.10","TXNM0821","Control","12/1","LWP",12.3,"Dec 01 to 03"
"243","TXNM0821.4","TXNM0821","Drought","12/1","LWP",9.7,"Dec 01 to 03"
"244","V60-96.3","V60-96","Drought","12/1","LWP",10.7,"Dec 01 to 03"
"245","V60-96.8","V60-96","Control","12/1","LWP",13.1,"Dec 01 to 03"
"246","9018.3","9018","Drought","12/1","LWP",10.5,"Dec 01 to 03"
"247","9031.4","9031","Drought","12/1","LWP",14,"Dec 01 to 03"
"248","9035.7","9035","Control","12/1","LWP",9.5,"Dec 01 to 03"
"249","b40-14.6","b40-14","Control","12/1","LWP",11.5,"Dec 01 to 03"
"250","b42-34.1","b42-34","Drought","12/1","LWP",14.5,"Dec 01 to 03"
"251","b42-34.9","b42-34","Control","12/1","LWP",11,"Dec 01 to 03"
"252","NY1.5","NY1","Drought","12/1","LWP",13.5,"Dec 01 to 03"
"253","SC2.9","SC2","Drought","12/1","LWP",11,"Dec 01 to 03"
"254","T48.2","T48","Drought","12/1","LWP",14.5,"Dec 01 to 03"
"255","T48.6","T48","Control","12/1","LWP",13.5,"Dec 01 to 03"
"256","T52.1","T52","Drought","12/1","LWP",12,"Dec 01 to 03"
"257","T52.6","T52","Control","12/1","LWP",13.5,"Dec 01 to 03"
"258","TXNM0821.3","TXNM0821","Drought","12/1","LWP",13,"Dec 01 to 03"
"259","TXNM0821.7","TXNM0821","Control","12/1","LWP",11,"Dec 01 to 03"
"260","V60-96.1","V60-96","Drought","12/1","LWP",11.5,"Dec 01 to 03"
"261","V60-96.7","V60-96","Control","12/1","LWP",10.5,"Dec 01 to 03"
"262","Vru42.5","Vru42","Drought","12/1","LWP",12,"Dec 01 to 03"
"263","Vru42.6","Vru42","Control","12/1","LWP",14.5,"Dec 01 to 03"
"264","9018.10","9018","Control","12/1","LWP",11.4,"Dec 01 to 03"
"265","9018.4","9018","Drought","12/1","LWP",9.5,"Dec 01 to 03"
"266","9035.8","9035","Control","12/1","LWP",9.4,"Dec 01 to 03"
"267","b40-14.3","b40-14","Drought","12/1","LWP",13.7,"Dec 01 to 03"
"268","b40-14.9","b40-14","Control","12/1","LWP",11.1,"Dec 01 to 03"
"269","b42-34.10","b42-34","Control","12/1","LWP",13.1,"Dec 01 to 03"
"270","SC2.4","SC2","Drought","12/1","LWP",13.5,"Dec 01 to 03"
"271","TX6704.5","TX6704","Drought","12/1","LWP",14.9,"Dec 01 to 03"
"272","TXNM0821.2","TXNM0821","Drought","12/1","LWP",11.5,"Dec 01 to 03"
"273","Vru42.8","Vru42","Control","12/1","LWP",14.5,"Dec 01 to 03"
"274","9031.2","9031","Drought","12/2","LWP",12.5,"Dec 01 to 03"
"275","9031.9","9031","Control","12/2","LWP",12.5,"Dec 01 to 03"
"276","NY1.2","NY1","Drought","12/2","LWP",12.9,"Dec 01 to 03"
"277","NY1.8","NY1","Control","12/2","LWP",9.8,"Dec 01 to 03"
"278","SC2.8","SC2","Control","12/2","LWP",7.9,"Dec 01 to 03"
"279","T48.1","T48","Drought","12/2","LWP",14.1,"Dec 01 to 03"
"280","T48.8","T48","Control","12/2","LWP",9.2,"Dec 01 to 03"
"281","T52.10","T52","Control","12/2","LWP",10.7,"Dec 01 to 03"
"282","T52.4","T52","Drought","12/2","LWP",12.1,"Dec 01 to 03"
"283","TXNM0821.9","TXNM0821","Control","12/2","LWP",10.5,"Dec 01 to 03"
"284","V60-96.6","V60-96","Control","12/2","LWP",10.2,"Dec 01 to 03"
"285","9018.1","9018","Drought","12/2","LWP",12.7,"Dec 01 to 03"
"286","9018.9","9018","Control","12/2","LWP",14.4,"Dec 01 to 03"
