"","X","ID","Treatment","ID.Order","Genotype","Species","Block","Date","pd_pot","md_pot","pd_pot_als","harvest_sm","GWC_top","GWC_bottom","stem_diam","canopy_biomass","perc_canopy","dry_root_bag","bag_tare","root_biomass","perc_root","root_g","total_root_length","sys_area","surface_area","srl","srsa","exud_time","exud","exud_flow","exud_gg","exp","species_geno"
"43",128,"b40-14.3","Drought",103,"b40-14","V. arizonica",3,"12/16",6,"11.2",14.1,NA,0.090640638,0.069041349,5.18,33.1,0.83,"14.05343",7.1611,6.8924,0.17,6.8924,3135.600059,7425.393514,1265.090109,454.94,"183.55",164,"0.0378",2e-04,0.0055,NA,"V. arizonica_b40-14"
"44",129,"b40-14.4","Drought",104,"b40-14","V. arizonica",5,"12/18",18.1,"17.7",NA,NA,0.288697853,0.119940993,5,16,0.69,"19.94402",12.7141,7.2299,0.31,7.2299,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"V. arizonica_b40-14"
"45",130,"b40-14.5","Drought",105,"b40-14","V. arizonica",4,"12/17",11,"14.6",14.8,NA,0.105387217,0.050456676,5.27,23.8,0.82,"12.45229",7.1611,5.2912,0.18,5.2912,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"V. arizonica_b40-14"
"46",131,"b40-14.6","Control",106,"b40-14","V. arizonica",2,"12/15",6.4,"13.4",10,NA,0.274482389,0.391086405,7.09,98.5,0.91,"22.16038",12.7141,9.4463,0.09,9.4463,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"V. arizonica_b40-14"
"47",132,"b40-14.7","Control",107,"b40-14","V. arizonica",4,"12/17",10.8,"16.2",NA,NA,NA,NA,6.26,100.5,0.91,"17.19169",7.1611,10.0306,0.09,10.0306,5532.756872,14564.65516,1992.598492,551.59,"198.65",NA,"",NA,NA,NA,"V. arizonica_b40-14"
"48",133,"b40-14.7","Control",107,"b40-14","V. arizonica",4,"12/17",10.8,"16.2",NA,NA,NA,NA,6.26,100.5,0.91,"17.19169",7.1611,10.0306,0.09,10.0306,6353.372326,16523.19662,2226.92684,633.4,"222.01",NA,"",NA,NA,NA,"V. arizonica_b40-14"
"49",134,"b40-14.7","Control",107,"b40-14","V. arizonica",4,"12/17",10.8,"16.2",NA,NA,NA,NA,6.26,100.5,0.91,"17.19169",7.1611,10.0306,0.09,10.0306,5662.073281,14146.01593,2185.562763,564.48,"217.89",NA,"",NA,NA,NA,"V. arizonica_b40-14"
"50",135,"b40-14.7","Control",107,"b40-14","V. arizonica",4,"12/17",10.8,"16.2",NA,NA,NA,NA,6.26,100.5,0.91,"17.19169",7.1611,10.0306,0.09,10.0306,6726.951762,16769.46515,2731.510833,670.64,"272.32",NA,"",NA,NA,NA,"V. arizonica_b40-14"
"51",136,"b40-14.8","Control",108,"b40-14","V. arizonica",5,"12/18",6.4,"9.9",NA,NA,NA,NA,6.89,110.2,0.87,"28.944",12.7141,16.2299,0.13,14.8842,4587.965262,10542.23864,1833.530332,308.24,"123.19",NA,"",NA,NA,NA,"V. arizonica_b40-14"
"52",137,"b40-14.8","Control",108,"b40-14","V. arizonica",5,"12/18",6.4,"9.9",NA,NA,NA,NA,6.89,110.2,0.87,"28.944",12.7141,16.2299,0.13,14.8842,16552.87513,41847.94618,6054.452811,1112.11,"406.77",NA,"",NA,NA,NA,"V. arizonica_b40-14"
"53",138,"b40-14.8","Control",108,"b40-14","V. arizonica",5,"12/18",6.4,"9.9",NA,NA,NA,NA,6.89,110.2,0.87,"28.944",12.7141,16.2299,0.13,14.8842,7820.758062,15552.46041,3575.346044,525.44,"240.21",NA,"",NA,NA,NA,"V. arizonica_b40-14"
"54",139,"b40-14.9","Control",109,"b40-14","V. arizonica",3,"12/16",9.5,"8",10,NA,0.235882596,0.347716306,7.18,113.6,0.91,"18.5475",7.1611,11.3864,0.09,11.3864,3718.197324,7831.023567,1715.415646,326.55,"150.65",NA,"",NA,NA,NA,"V. arizonica_b40-14"
"55",140,"b40-14.9","Control",109,"b40-14","V. arizonica",3,"12/16",9.5,"8",10,NA,0.235882596,0.347716306,7.18,113.6,0.91,"18.5475",7.1611,11.3864,0.09,11.3864,5139.651469,11615.60177,2122.319005,451.38,"186.39",NA,"",NA,NA,NA,"V. arizonica_b40-14"
"56",141,"b40-14.9","Control",109,"b40-14","V. arizonica",3,"12/16",9.5,"8",10,NA,0.235882596,0.347716306,7.18,113.6,0.91,"18.5475",7.1611,11.3864,0.09,11.3864,3562.876935,7838.07417,1620.378177,312.91,"142.31",NA,"",NA,NA,NA,"V. arizonica_b40-14"
"57",142,"b40-14.9","Control",109,"b40-14","V. arizonica",3,"12/16",9.5,"8",10,NA,0.235882596,0.347716306,7.18,113.6,0.91,"18.5475",7.1611,11.3864,0.09,11.3864,5146.665809,11334.04157,2510.103228,452,"220.45",NA,"",NA,NA,NA,"V. arizonica_b40-14"
"58",153,"b42-34.1","Drought",31,"b42-34","cinerea",2,"12/15",10.5,"13",14.3,NA,0.169935286,0.185562541,4.03,14,NA,"11.0248",6.3807,4.6441,0.25,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"cinerea_b42-34"
