"","X","ID","Genotype","Species","Treatment","Order.within.block","mPot..kg.","Dry.weight.of.soil..kg.","mH2O..kg.","Date","PWW","WA","BB","TW","POWW","PD.WT","midday.WT","POWW.NOTES","WU","tgt_swc","SWC","species_geno","PSWC","POSWC"
"82",82,"9018.5","9018","acerifolia","Drought",29,7.242,4.296545961,2.693454039,"11/11",5.58,0.045927577,1,5.625927577,5.64,NA,NA,NA,0.249,0.4,0.441423548103841,"acerifolia_9018",0.770505385252693,0.778790389395195
"83",83,"9018.5","9018","acerifolia","Drought",29,7.242,4.296545961,2.693454039,"11/13",5.36,-0.003417827,1,5.356582173,5.36,NA,NA,NA,0.219999999999999,0.3,0.353246806841095,"acerifolia_9018",0.740127036730185,0.740127036730185
"84",84,"9018.5","9018","acerifolia","Drought",29,7.242,4.296545961,2.693454039,"11/16",5.06,0.296582173,1,5.356582173,5.35,NA,NA,NA,0.210000000000001,0.3,0.245578364851393,"acerifolia_9018",0.698702016017675,0.738746202706435
"85",85,"9018.5","9018","acerifolia","Drought",29,7.242,4.296545961,2.693454039,"11/23",5.1065,0.250082173,1,5.356582173,5.4095,NA,NA,NA,0.1775,0.3,0.259779461081794,"acerifolia_9018",0.705122894228114,0.746962165147749
"86",86,"9018.5","9018","acerifolia","Drought",29,7.242,4.296545961,2.693454039,"11/25",5.17,0.186582173,1,5.356582173,5.37,NA,NA,NA,0.1795,0.3,0.275187186403666,"acerifolia_9018",0.713891190278928,0.741507870753935
"87",87,"9018.5","9018","acerifolia","Drought",29,7.242,4.296545961,2.693454039,"11/27",5.1555,0.201082173,1,5.356582173,5.3895,NA,NA,NA,0.20675,0.3,0.265162883182207,"acerifolia_9018",0.71188898094449,0.744200497100248
"88",88,"9018.5","9018","acerifolia","Drought",29,7.242,4.296545961,2.693454039,"11/30",5.06,0.296582173,1,5.356582173,5.37,NA,NA,NA,0.2172,0.3,0.251054604574227,"acerifolia_9018",0.698702016017675,0.741507870753935
"89",89,"9018.5","9018","acerifolia","Drought",29,7.242,4.296545961,2.693454039,"12/02",5.13,0.226582173,1,5.356582173,5.13,NA,NA,NA,0.20815,0.3,0.26042918443874,"acerifolia_9018",0.708367854183927,0.708367854183927
"90",90,"9018.5","9018","acerifolia","Drought",29,7.242,4.296545961,2.693454039,"12/04",4.97,0.117236769,1,5.087236769,5.1,NA,NA,NA,0.12815,0.2,0.186175086520569,"acerifolia_9018",0.686274509803922,0.704225352112676
"91",91,"9018.5","9018","acerifolia","Drought",29,7.242,4.296545961,2.693454039,"12/07",4.872,4.980709378,1,5.087236769,4.9895,NA,NA,NA,0.0799999999999998,0.2,0.162413775199377,"acerifolia_9018",0.672742336371168,0.688967136150235
"92",92,"9018.5","9018","acerifolia","Drought",29,7.242,4.296545961,2.693454039,"12/09",4.85,0.507291551,1,5.356582173,5.36,NA,NA,NA,0.0535000000000001,0.3,0.13781710523927,"acerifolia_9018",0.669704501518917,0.740127036730185
"93",93,"9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"10/28",6.19,0.397019499,1,6.587019499,NA,NA,NA,NA,0.2696823588,0.8,0.646773369556188,"acerifolia_9018",0.869870713884205,0.869870713884205
"94",94,"9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"10/30",6.218,0.369019499,1,6.587019499,NA,NA,NA,NA,0.2120823588,0.8,0.655185777930831,"acerifolia_9018",0.87380550871276,0.87380550871276
