"","ID","Genotype","Treatment","Date","LWP.area","species_geno","SWP.area","PD.area","WPType","WP"
"172","2214.4.7","2214.4","Control","12/11-18",NA,"2214.4",59.00430556,82.674375,"SWP",10.2
"173","2214.4.7","2214.4","Control","12/11-18",NA,"2214.4",59.00430556,82.674375,"LWP",11.5
"174","2214.4.7","2214.4","Control","12/11-18",NA,"2214.4",59.00430556,82.674375,"PD",7
"175","2214.4.8","2214.4","Control","11/9-11",12.90222222,"2214.4",NA,NA,"SWP",NA
"176","2214.4.8","2214.4","Control","11/9-11",12.90222222,"2214.4",NA,NA,"LWP",9.8
"177","2214.4.8","2214.4","Control","11/9-11",12.90222222,"2214.4",NA,NA,"PD",NA
"178","2214.4.8","2214.4","Control","11/16-17",44.645,"2214.4",NA,NA,"SWP",NA
"179","2214.4.8","2214.4","Control","11/16-17",44.645,"2214.4",NA,NA,"LWP",13.7
"180","2214.4.8","2214.4","Control","11/16-17",44.645,"2214.4",NA,NA,"PD",NA
"181","2214.4.8","2214.4","Control","12/01-02",53.91020833,"2214.4",NA,NA,"SWP",NA
"182","2214.4.8","2214.4","Control","12/01-02",53.91020833,"2214.4",NA,NA,"LWP",11.8
"183","2214.4.8","2214.4","Control","12/01-02",53.91020833,"2214.4",NA,NA,"PD",NA
"184","2214.4.8","2214.4","Control","12/11-18",55.44361111,"2214.4",NA,51.53090278,"SWP",10.9
"185","2214.4.8","2214.4","Control","12/11-18",55.44361111,"2214.4",NA,51.53090278,"LWP",10.7
"186","2214.4.8","2214.4","Control","12/11-18",55.44361111,"2214.4",NA,51.53090278,"PD",5.7
"187","2214.4.9","2214.4","Control","11/01",38.11416667,"2214.4",NA,NA,"SWP",NA
"188","2214.4.9","2214.4","Control","11/01",38.11416667,"2214.4",NA,NA,"LWP",11.8
"189","2214.4.9","2214.4","Control","11/01",38.11416667,"2214.4",NA,NA,"PD",NA
"190","2214.4.9","2214.4","Control","11/16-17",24.70222222,"2214.4",NA,NA,"SWP",NA
"191","2214.4.9","2214.4","Control","11/16-17",24.70222222,"2214.4",NA,NA,"LWP",13.5
"192","2214.4.9","2214.4","Control","11/16-17",24.70222222,"2214.4",NA,NA,"PD",NA
"193","2214.4.9","2214.4","Control","12/01-02",64.10076389,"2214.4",NA,NA,"SWP",NA
"194","2214.4.9","2214.4","Control","12/01-02",64.10076389,"2214.4",NA,NA,"LWP",9.5
"195","2214.4.9","2214.4","Control","12/01-02",64.10076389,"2214.4",NA,NA,"PD",NA
"196","2214.4.9","2214.4","Control","12/11-18",NA,"2214.4",60.660625,65.48763889,"SWP",7.5
"197","2214.4.9","2214.4","Control","12/11-18",NA,"2214.4",60.660625,65.48763889,"LWP",11.5
"198","2214.4.9","2214.4","Control","12/11-18",NA,"2214.4",60.660625,65.48763889,"PD",8.1
"199","2214.4.9","2214.4","Control","12/11-18",71.16368056,"2214.4",60.660625,65.48763889,"SWP",7.5
"200","2214.4.9","2214.4","Control","12/11-18",71.16368056,"2214.4",60.660625,65.48763889,"LWP",11.5
"201","2214.4.9","2214.4","Control","12/11-18",71.16368056,"2214.4",60.660625,65.48763889,"PD",8.1
"202","255189.01.1","255189.01","Drought","11/9-11",21.70777778,"255189.01",NA,NA,"SWP",NA
