ID,Genotype,Treatment,Date,LWP,SWP,PD,LWP.area,SWP.area,PD.area
TXNM0821.4,TXNM0821,Drought,11.16,9,,,,,
UT12-075.6,UT12-075,Control,11.16,11,,,,,
V57-96.10,V57-96,Control,11.16,11,,,,,
V57-96.5,V57-96,Drought,11.16,12,,,,,
V60-96.3,V60-96,Drought,11.16,11,,,,,
Vru42.1,Vru42,Drought,11.16,11,,,,,
Vru42.10,Vru42,Control,11.16,13,,,,,
1149.3,1149,Drought,11.16,13,,,,,
1149.8,1149,Control,11.16,12,,,,,
2214.4.4,2214.4,Drought,11.16,10,,,,,
2214.4.9,2214.4,Control,11.16,13,,,,,
255189.01.2,255189.01,Drought,11.16,9,,,,,
255189.01.9,255189.01,Control,11.16,11,,,,,
588155.01.1,588155.01,Drought,11.16,9,,,,,
588155.01.10,588155.01,Control,11.16,13,,,,,
9018.3,9018,Drought,11.16,9,,,,,
9018.8,9018,Control,11.16,10,,,,,
9025.1,9025,Control,11.16,8,,,,,
9025.5,9025,Drought,11.16,14,,,,,
9031.4,9031,Drought,11.16,11,,,,,
9031.7,9031,Control,11.16,14,,,,,
9035.2,9035,Drought,11.16,11,,,,,
9035.7,9035,Control,11.16,11,,,,,
ANU65.3,ANU65,Drought,11.16,7,,,,,
ANU65.9,ANU65,Control,11.16,10,,,,,
b40-14.2,b40-14,Drought,11.16,13,,,,,
b40-14.6,b40-14,Control,11.16,12,,,,,
b42-24.3,b42-24,Drought,11.16,11,,,,,
b42-24.6,b42-24,Control,11.16,11,,,,,
b42-34.1,b42-34,Drought,11.16,13,,,,,
b42-34.9,b42-34,Control,11.16,11,,,,,
C56-94.3,C56-94,Drought,11.16,10,,,,,
C56-94.6,C56-94,Control,11.16,9,,,,,
CC12.3,CC12,Drought,11.16,9,,,,,
CC12.8,CC12,Control,11.16,10,,,,,
Haines2.10,Hanes2,Drought,11.16,8,,,,,
Haines2.2,Hanes2,Drought,11.16,8,,,,,
Haines2.9,Hanes2,Control,11.16,8,,,,,
NY1.5,NY1,Drought,11.16,11,,,,,
NY1.9,NY1,Control,11.16,13,,,,,
OCK1-S02.8,OCK1-S02,Control,11.16,11,,,,,
SC2.9,SC2,Drought,11.16,9,,,,,
T48.2,T48,Drought,11.16,8,,,,,
T48.6,T48,Control,11.16,11,,,,,
T52.1,T52,Drought,11.16,8,,,,,
T52.6,T52,Control,11.16,12,,,,,
TX6704.3,TX6704,Drought,11.16,13,,,,,
TX6704.9,TX6704,Control,11.16,13,,,,,
