ID,trt,ID Order,genotype,species,block,year,harvest_date,pd_pot,md_pot,pd_pot_als,harvest_sm,GWC_top,GWC_bottom,stem_diam,canopy_biomass,perc_canopy,dry_root_bag,bag_tare,root_biomass,perc_root,root_g,total_root_length,sys_area,surface_area,srl,srsa,exud_time,exud,exud_flow,exud_gg,exp,epson_file,dpi,mask_imagej,brown_imagej,perc_sub,perc_white,figure,figure_class
9025.3,Drought,73,9025,cinerea,1,2020,12/11/20,5.6,13.6,,,0.245214251,0.25899752,4.08,6,,15.2823,6.3807,8.9016,8.9,,,,,,,170,0.0129,0.0001,,,,,,,,,,
9025.4,Drought,74,9025,cinerea,3,2020,12/16/20,,,,,0.162893323,0.545562555,3.875,6.5,,18.3135,6.3807,11.9328,11.93,,,,,,,69,0.1411,0.002,,,,,,,,,,
9025.5,Drought,75,9025,cinerea,2,2020,12/15/20,4.7,14.5,,,0.253086615,0.272334432,3.81,8.8,,19.4274,6.3807,13.0467,13.05,,,,,,,,,,,,,,,,,,,
9025.6,Control,76,9025,cinerea,,2020,12/18/20,,,,,0.455480729,0.612399124,3.71,4.1,,11.7422,6.3807,5.3615,5.36,,,,,,,,,,,,,,,,,,,
9025.7,Control,77,9025,cinerea,4,2020,12/17/20,6.5,13.4,,,0.41227107,0.484353698,5.59,40.2,,18.4384,6.3807,12.0577,12.06,,,,,,,,,,,,,,,,,,,
9025.8,Control,78,9025,cinerea,1,2020,12/11/20,4.8,19.29,,,0.503002481,0.656903171,4.74,22.5,,18.6124,6.3807,12.2317,12.23,,,,,,,57,0.081,0.0014,,,,,,,,,,
9025.9,Control,79,9025,cinerea,3,2020,12/16/20,,,,,0.483344106,0.696658174,6.42,28.9,,12.6037,6.3807,6.223,6.22,,,,,,,87,1.2295,0.0141,,,,,,,,,,
9031.10.,Control,190,9031,V. berlandieri,1,2020,12/11/20,6,9.8,,,0.534506066,0.657208116,,29.9,0.71,19.157,7.1611,11.9959,0.29,11.9959,,,,,,,,,,,,,,,,,,
9031.1,Drought,181,9031,V. berlandieri,4,2020,12/17/20,8.7,13.6,,,0.104770571,0.136403586,,6,0.24,31.22045,12.7141,18.5064,0.76,18.5064,,,,,,,,,,,,,,,,,,
9031.11,Control,191,9031,V. berlandieri,1,2020,12/11/20,7.3,11.2,,,0.5613,,,29,0.69,20.124,7.1611,12.9629,0.31,12.9629,,,,,,,,,,,,,,,,,,
9031.2,Drought,182,9031,V. berlandieri,3,2020,12/16/20,6.5,13.3,,,0.055197555,0.05960661,3.89,18.2,0.43,31.1216,7.1611,23.9605,0.57,23.9605,,,,,,,,,,,,,,,,,,
9031.3,Drought,183,9031,V. berlandieri,5,2020,12/18/20,7.7,11.4,,,0.271880502,0.238225132,4.15,6,,xx,12.7141,,,,,,,,,,,,,,,,,,,,,
9031.4,Drought,184,9031,V. berlandieri,2,2020,12/15/20,5.3,9,,,0.182700622,0.235047353,,11.4,,x,12.7141,,,,,,,,,,,,,,,,,,,,,
9031.5,Drought,185,9031,V. berlandieri,1,2020,12/11/20,9.9,13.4,,,0.523089064,0.589397566,3.94,12.9,,19.6815,6.3807,13.3008,0.51,,,,,,,,,,,,,,,,,,,
9031.6,Control,186,9031,V. berlandieri,4,2020,12/17/20,10,20.5,,,0.372951853,0.490057092,,20.3,,x,12.7141,,,,,,,,,,,,,,,,,,,,,
9031.7,Control,187,9031,V. berlandieri,2,2020,12/15/20,7.4,10.7,,,0.505962962,-0.051442249,,33.9,0.69,28.05461,12.7141,15.3405,0.31,15.3405,,,,,,,,,,,,,,,,,,
9031.8,Control,188,9031,V. berlandieri,5,2020,12/18/20,7.4,9.8,,,,,5.41,33.8,0.6,35.00424,12.7141,22.2902,0.4,22.2902,,,,,,,,,,,,,,,,,,
9031.9,Control,189,9031,V. berlandieri,3,2020,12/16/20,8.1,11.6,,,,,,33.5,,xx,12.7141,,,,,,,,,120,0.067,0.0006,,,,,,,,,,
