"Species","Treatment","species_geno","Genotype","Porosity","SpongyV_TotalMesophyllV","PalisadeV_TotalMesophyllV","SpongyV_PalisadeV","Leaf_Width_um","Mesophyll_Width_um","SASP_SAWM","SAPA_SAWM","SASPPA_SAWM","Treatment_factor","mean_Porosity","sd_Porosity","Tukey_Porosity","mean_SpongyV_TotalMesophyllV","sd_SpongyV_TotalMesophyllV","Tukey_SpongyV_TotalMesophyllV","mean_PalisadeV_TotalMesophyllV","sd_PalisadeV_TotalMesophyllV","Tukey_PalisadeV_TotalMesophyllV","mean_SpongyV_PalisadeV","sd_SpongyV_PalisadeV","Tukey_SpongyV_PalisadeV","mean_Leaf_Width_um","sd_Leaf_Width_um","Tukey_Leaf_Width_um","mean_Mesophyll_Width_um","sd_Mesophyll_Width_um","Tukey_Mesophyll_Width_um","mean_SASP_SAWM","sd_SASP_SAWM","Tukey_SASP_SAWM","mean_SAPA_SAWM","sd_SAPA_SAWM","Tukey_SAPA_SAWM","mean_SASPPA_SAWM","sd_SASPPA_SAWM","Tukey_SASPPA_SAWM"
"cinerea","Drought","cinerea_b42-34","b42-34",0.3099776957,0.4002913131,0.2897309912,1.381596465,167.0212604,137.6714961,0.4002913131,0.2897309912,0.6900223043,"Drought",0.26261222735,0.0330327456998301,"d",0.435156746775,0.0307360658215863,"a",0.302231025875,0.0135197644394678,"d",1.44197795525,0.120815536778182,"a",180.88777685,14.76481666433,"d",150.1926125,14.1968032671992,"bc",0.435156746775,0.0307360658215863,"a",0.302231025875,0.0135197644394678,"d",0.73738777265,0.0330327456998301,"b"
"cinerea","Drought","cinerea_b42-34","b42-34",0.2459387394,0.4530845268,0.3009767338,1.505380569,176.272645,144.9152443,0.4530845268,0.3009767338,0.7540612606,"Drought",0.26261222735,0.0330327456998301,"d",0.435156746775,0.0307360658215863,"a",0.302231025875,0.0135197644394678,"d",1.44197795525,0.120815536778182,"a",180.88777685,14.76481666433,"d",150.1926125,14.1968032671992,"bc",0.435156746775,0.0307360658215863,"a",0.302231025875,0.0135197644394678,"d",0.73738777265,0.0330327456998301,"b"
"cinerea","Drought","cinerea_b42-34","b42-34",0.2591194064,0.4196081694,0.3212724242,1.306082122,178.5175276,147.6545109,0.4196081694,0.3212724242,0.7408805936,"Drought",0.26261222735,0.0330327456998301,"d",0.435156746775,0.0307360658215863,"a",0.302231025875,0.0135197644394678,"d",1.44197795525,0.120815536778182,"a",180.88777685,14.76481666433,"d",150.1926125,14.1968032671992,"bc",0.435156746775,0.0307360658215863,"a",0.302231025875,0.0135197644394678,"d",0.73738777265,0.0330327456998301,"b"
"cinerea","Drought","cinerea_b42-34","b42-34",0.2354130679,0.4676429778,0.2969439543,1.574852665,201.7396744,170.5291987,0.4676429778,0.2969439543,0.7645869321,"Drought",0.26261222735,0.0330327456998301,"d",0.435156746775,0.0307360658215863,"a",0.302231025875,0.0135197644394678,"d",1.44197795525,0.120815536778182,"a",180.88777685,14.76481666433,"d",150.1926125,14.1968032671992,"bc",0.435156746775,0.0307360658215863,"a",0.302231025875,0.0135197644394678,"d",0.73738777265,0.0330327456998301,"b"
"hybrid","Control","hybrid_TXNM0821","TXNM0821",0.4309892874,0.3104432053,0.2585675073,1.200627289,234.9127687,191.798988,0.3104432053,0.2585675073,0.5690107126,"Control",0.4606828695,0.0204378947180867,"a",0.279385453175,0.0213353923363638,"fg",0.259931677325,0.00714217030973908,"d",1.07593102175,0.09456503529955,"cde",236.194770925,6.40619595695162,"a",196.022422,6.81879878518497,"a",0.279385453175,0.0213353923363638,"fg",0.259931677325,0.00714217030973908,"d",0.5393171305,0.0204378947180867,"e"
"hybrid","Control","hybrid_TXNM0821","TXNM0821",0.4747362681,0.2629252668,0.2623384651,1.002236812,243.2502496,204.4793434,0.2629252668,0.2623384651,0.5252637319,"Control",0.4606828695,0.0204378947180867,"a",0.279385453175,0.0213353923363638,"fg",0.259931677325,0.00714217030973908,"d",1.07593102175,0.09456503529955,"cde",236.194770925,6.40619595695162,"a",196.022422,6.81879878518497,"a",0.279385453175,0.0213353923363638,"fg",0.259931677325,0.00714217030973908,"d",0.5393171305,0.0204378947180867,"e"
"hybrid","Control","hybrid_TXNM0821","TXNM0821",0.473582731,0.2755167383,0.2509005307,1.098111421,228.0626435,189.3686127,0.2755167383,0.2509005307,0.526417269,"Control",0.4606828695,0.0204378947180867,"a",0.279385453175,0.0213353923363638,"fg",0.259931677325,0.00714217030973908,"d",1.07593102175,0.09456503529955,"cde",236.194770925,6.40619595695162,"a",196.022422,6.81879878518497,"a",0.279385453175,0.0213353923363638,"fg",0.259931677325,0.00714217030973908,"d",0.5393171305,0.0204378947180867,"e"
"hybrid","Control","hybrid_TXNM0821","TXNM0821",0.4634231915,0.2686566023,0.2679202062,1.002748565,238.5534219,198.4427439,0.2686566023,0.2679202062,0.5365768085,"Control",0.4606828695,0.0204378947180867,"a",0.279385453175,0.0213353923363638,"fg",0.259931677325,0.00714217030973908,"d",1.07593102175,0.09456503529955,"cde",236.194770925,6.40619595695162,"a",196.022422,6.81879878518497,"a",0.279385453175,0.0213353923363638,"fg",0.259931677325,0.00714217030973908,"d",0.5393171305,0.0204378947180867,"e"
"hybrid","Drought","hybrid_TXNM0821","TXNM0821",0.4753302689,0.2419014501,0.282768281,0.8554759016,259.3768231,215.6094139,0.2419014501,0.282768281,0.5246697311,"Drought",0.4656954082,0.0288247134532489,"a",0.22398179615,0.0132934836251984,"fg",0.3103227956,0.035410596529093,"d",0.730981370975,0.11419562174413,"cde",237.97428925,14.7850067510124,"a",198.171584925,12.3708292698962,"a",0.22398179615,0.0132934836251984,"fg",0.3103227956,0.035410596529093,"d",0.5343045918,0.0288247134532489,"e"
"hybrid","Drought","hybrid_TXNM0821","TXNM0821",0.4685918271,0.2105535844,0.3208545885,0.6562274375,227.6918134,190.5965665,0.2105535844,0.3208545885,0.5314081729,"Drought",0.4656954082,0.0288247134532489,"a",0.22398179615,0.0132934836251984,"fg",0.3103227956,0.035410596529093,"d",0.730981370975,0.11419562174413,"cde",237.97428925,14.7850067510124,"a",198.171584925,12.3708292698962,"a",0.22398179615,0.0132934836251984,"fg",0.3103227956,0.035410596529093,"d",0.5343045918,0.0288247134532489,"e"
