ID,Genotype,Species,Treatment,Order within block,mPot (kg),Dry weight of soil (kg),mH2O (kg),Date,PWW,WA,BB,TW,POWW,PD.WT,midday.WT,POWW.NOTES,WU,tgt_swc,SWC
1149.5,1149,treleasei,Drought,49,7.1,4.209262767,2.638737233,11/25,4.97,0.282883937,1,5.252883937,5.25,NA,NA,NA,0.2764999999999999,0.3,0.2565572746060538
1149.5,1149,treleasei,Drought,49,7.1,4.209262767,2.638737233,11/27,4.928,0.324883937,1,5.252883937,5.274,NA,NA,NA,0.31425000000000014,0.3,0.23789304408545475
1149.5,1149,treleasei,Drought,49,7.1,4.209262767,2.638737233,11/30,4.88,0.372883937,1,5.252883937,5.25,NA,NA,NA,0.2817000000000001,0.3,0.2333454143139382
1149.5,1149,treleasei,Drought,49,7.1,4.209262767,2.638737233,12/02,4.97,0.282883937,1,5.252883937,4.97,NA,NA,NA,0.24815000000000026,0.3,0.2458513961856087
1149.5,1149,treleasei,Drought,49,7.1,4.209262767,2.638737233,12/04,4.86,0.129010214,1,4.989010214,4.98,NA,NA,NA,0.07814999999999943,0.2,0.17195241234161945
1149.5,1149,treleasei,Drought,49,7.1,4.209262767,2.638737233,12/07,4.824,5.058183844,1,4.989010214,5.074,NA,NA,NA,0.00800000000000059,0.2,0.1670258133656312
1149.5,1149,treleasei,Drought,49,7.1,4.209262767,2.638737233,12/09,4.87,0.351067781,1,5.252883937,5.3,NA,NA,NA,0.11799999999999984,0.3,0.19355365375632305
1149.6,1149,treleasei,Control,35,6.61,3.90807428,2.44992572,10/28,5.68,0.578454968,1,6.258454968,NA,NA,NA,NA,0.4511178278,0.8,0.5373573562875205
1149.6,1149,treleasei,Control,35,6.61,3.90807428,2.44992572,10/30,5.74,0.518454968,1,6.258454968,NA,NA,NA,NA,0.3615178278,0.8,0.5761340421374084
1149.6,1149,treleasei,Control,35,6.61,3.90807428,2.44992572,11/02,5.4,0.858454968,1,6.258454968,6.25,NA,NA,NA,0.4799178278,0.8,0.5189894524638897
1149.6,1149,treleasei,Control,35,6.61,3.90807428,2.44992572,11/04,5.69,0.568454968,1,6.258454968,6.26,NA,NA,NA,0.3174999999999996,0.8,0.6822597086739433
1149.6,1149,treleasei,Control,35,6.61,3.90807428,2.44992572,11/06,5.68,0.440014856,1,6.120014856,6.13,NA,NA,NA,0.44400000000000006,0.8,0.7105136493689287
1149.6,1149,treleasei,Control,35,6.61,3.90807428,2.44992572,11/09,5.24,0.880014856,1,6.120014856,6.12,NA,NA,NA,0.6379999999999997,0.8,0.6224375325142512
1149.6,1149,treleasei,Control,35,6.61,3.90807428,2.44992572,11/11,5.52,0.600014856,1,6.120014856,6.12,NA,NA,NA,0.4300000000000005,0.8,0.6775412439851441
1149.6,1149,treleasei,Control,35,6.61,3.90807428,2.44992572,11/13,5.47,0.650014856,1,6.120014856,6.12,NA,NA,NA,0.5020000000000003,0.8,0.6673368529720158
1149.6,1149,treleasei,Control,35,6.61,3.90807428,2.44992572,11/20,5.48,0.885007428,1,6.365007428,6.37,NA,NA,NA,0.8124999999999993,0.9,0.7489719810770428
