ID,trt,ID Order,genotype,species,block,year,harvest_date,pd_mpa,pd_pot,md_mpa,md_pot,figure,pd_pot_als,sm_wet_top,sm_wet_bot,sm_dry_top,sm_dry_bot,GWC_top,GWC_bottom,stem_diam,canopy_biomass,dry_root_bag,bag_tare,root_biomass,root_g,exud_time,exud,exud_flow,exud_gg,exud_ro,exud_s,exp,parameter,epson_file,mask_imagej,brown_imagej,perc_white
9025.8,Control,78,9025,cinerea,1,2020,12/11/2020,,4.8,1.929,19.29,,,,,,,0.503,0.657,4.74,22.50,18.61240,,,,57,0.081,0.001421052632,,,,,,,,,
9025.9,Control,79,9025,cinerea,3,2020,12/16/2020,,,,,,,12.1639,11.9176,,,0.483,0.697,6.42,28.90,12.60370,,,,87,1.22953,0.01413252874,,,,,,,,,
9031.1,Drought,181,9031,berlandieri,4,2020,12/17/2020,,8.7,,13.6,,,7.8644,10.0879,,,0.535,0.657,,6.00,31.22045,12.7141,18.5064,18.5064,,,,,,,,,,,,
9031.10,Control,190,9031,berlandieri,1,2020,12/11/2020,,6,,9.8,,,,,,,0.105,0.136,,29.90,19.15700,7.1611,11.9959,11.9959,,,,,,,,,,,,
9031.11,Control,191,9031,berlandieri,1,2020,12/11/2020,,7.3,,11.2,,,,,,,0.561,,,29.00,20.12400,7.1611,12.9629,12.9629,,,,,,,,,,,,
9031.2,Drought,182,9031,berlandieri,3,2020,12/16/2020,,6.5,,13.3,,,,,,,0.055,0.060,3.89,18.20,31.12160,7.1611,23.9605,23.9605,,,,,,,,,,,,
9031.3,Drought,183,9031,berlandieri,5,2020,12/18/2020,,7.7,,11.4,,,,,,,0.272,0.238,4.15,6.00,xx,12.7141,,,,,,,,,,,,,,
9031.4,Drought,184,9031,berlandieri,2,2020,12/15/2020,,5.3,,9,,,10.8202,10.4132,,,0.183,0.235,,11.40,x,12.7141,,,,,,,,,,,,,,
9031.5,Drought,185,9031,berlandieri,1,2020,12/11/2020,,9.9,,13.4,,,,,,,0.523,0.589,3.94,12.90,19.68150,,,,,,,,,,,,,,,
9031.6,Control,186,9031,berlandieri,4,2020,12/17/2020,,10,,20.5,,,12.8738,12.7900,,,0.373,0.490,,20.30,x,12.7141,,,,,,,,,,,,,,
9031.7,Control,187,9031,berlandieri,2,2020,12/15/2020,,7.4,,10.7,,,11.9395,12.5818,,,0.506,-0.051,,33.90,28.05461,12.7141,15.3405,15.3405,,,,,,,,,,,,
9031.8,Control,188,9031,berlandieri,5,2020,12/18/2020,,7.4,,9.8,,,,,,,,,5.41,33.80,35.00424,12.7141,22.2902,22.2902,,,,,,,,,,,,
9031.9,Control,189,9031,berlandieri,3,2020,12/16/2020,,8.1,,11.6,,,,,,,,,,33.50,xx,12.7141,,,120,0.067,0.0005583333333,,,,,,,,,
9035.1,Drought,21,9035,berlandieri,3,2020,12/16/2020,,9.5,,11.7,,,,,,,,,5.91,15.90,24.22570,,,,,,,,,,,,,,,
9035.2,Drought,22,9035,berlandieri,2,2020,12/15/2020,,6.3,,10.6,,,,,,,0.307,0.123,6.11,8.50,22.91640,,,,,,,,,,,,,,,
9035.3,Drought,23,9035,berlandieri,4,2020,12/17/2020,,6.8,,20.2,,,,,,,0.237,0.153,6.37,11.00,23.81030,,,,,,,,,,,,,,,
9035.4,Drought,24,9035,berlandieri,5,2020,12/18/2020,,5,,12.5,,,,,,,0.093,0.067,6.53,10.40,20.92030,,,,,,,,,,,,,,,
9035.6,Control,26,9035,berlandieri,5,2020,12/18/2020,,13.1,,16.1,,,,,,,0.397,0.495,5.5,32.80,18.65210,,,,,,,,,,,,,,,
9035.7,Control,27,9035,berlandieri,2,2020,12/15/2020,,8.3,,12.9,,,11.8048,12.7091,,,0.500,0.615,5.56,36.60,15.53160,,,,78,0.16704,0.002141538462,,,,,,,,,
9035.8,Control,28,9035,berlandieri,3,2020,12/16/2020,,8,,6.7,,,11.2744,10.6966,,,0.415,0.462,6.51,40.40,20.30490,,,,,,,,,,,,,,,
9035.9,Control,29,9035,berlandieri,4,2020,12/17/2020,,6,,11.9,,,10.8161,12.8116,,,,,6.73,47.40,25.97420,,,,129,0.58923,0.004567674419,,,,,,,,,
2214.4.1,Drought,51,2214.4,bloodworthiana,3,2020,12/16/2020,,8,,10.8,,,,,,,0.115,0.183,4.17,14.90,15.96240,,,,,,,,,,,,,,,
2214.4.10,Control,60,2214.4,bloodworthiana,5,2020,12/18/2020,,6.3,,12.1,,,,,,,0.293,0.118,5.47,48.20,11.71420,,,,,,,,,,,,,,,
2214.4.2,Drought,52,2214.4,bloodworthiana,4,2020,12/17/2020,,8.3,,11.6,,,11.0017,10.9416,,,,,3.94,9.90,25.89470,,,,,,,,,,,,,,,
2214.4.3,Drought,53,2214.4,bloodworthiana,1,2020,12/11/2020,,5.2,,13.5,,,,,,,0.155,0.277,4.36,10.30,10.15200,,,,,,,,,,,,,,,
2214.4.4,Drought,54,2214.4,bloodworthiana,2,2020,12/15/2020,,8.1,,7.5,,,10.7677,10.2284,,,0.244,0.218,3.55,7.10,8.89850,,,,,,,,,,,,,,,
2214.4.5,Drought,55,2214.4,bloodworthiana,5,2020,12/18/2020,,6.2,,13,,,,,,,0.067,0.498,4.08,5.80,8.86040,,,,67,0.88269,0.01317447761,,,,,,,,,
2214.4.6,Control,56,2214.4,bloodworthiana,3,2020,12/16/2020,,7.5,,10.3,,,,,,,0.395,0.587,5.12,53.40,14.25930,,,,,,,,,,,,,,,
2214.4.7,Control,57,2214.4,bloodworthiana,4,2020,12/18/2020,,13,,,,,9.6463,11.8329,,,0.310,0.435,5.35,65.00,11.57660,,,,145,0.04761,0.0003283448276,,,,,,,,,
2214.4.8,Control,58,2214.4,bloodworthiana,1,2020,12/11/2020,,5.7,,10.9,,,,,,,0.430,0.597,4.75,35.10,10.68450,,,,,,,,,,,,,,,
2214.4.9,Control,59,2214.4,bloodworthiana,2,2020,12/15/2020,,6.8,,9.4,,,10.6944,11.8119,,,0.521,0.540,5.39,50.60,10.53350,,,,146,0.26916,0.001843561644,,,,,,,,,
255189.01.1,Drought,272,255189.01,riparia,1,2020,12/11/2020,,6.7,,15.2,,,,,,,0.152,0.126,6.86,12.30,40.68660,,,,,,,,,,,,,,,
255189.01.10,Control,281,255189.01,riparia,5,2020,12/18/2020,,8.5,,12.5,,,,,,,,,9.17,70.10,22.07850,,,,,,,,,,,,,,,
