ID,Genotype,Species,Treatment,Block,11.9.lwp,11.9.lwp.area,11.10.lwp,11.10.lwp.area,11.11.pd,11.11.lwp,11.11.lwp.area,11.12.pd,11.13.pd,11.16.lwp,11.16.lwp.area,11.17.lwp,11.17.lwp.area,11.18.als.pd,12.1.pd,12.1.lwp,12.1.lwp.area,12.2.pd,12.2.lwp,12.2.lwp.area,12.3.pd,12.11.pd,12.11.pd.area,12.11.swp,12.11.swp.area,12.11.lwp,12.11.lwp.area,12.15.pd,12.15.pd.area,12.15.swp,12.15.swp.area,12.15.lwp,12.15.lwp.area,12.16.pd,12.16.pd.area,12.16.swp,12.16.swp.area,12.16.lwp,12.16.lwp.area,12.17.pd,12.17.pd.area,12.17.swp,12.17.swp.area,12.17.lwp,12.18.pd,12.18.pd.area,12.18.swp,12.18.swp.area,12.18.lwp,12.18.lwp.area
UT12-075.6,UT12-075,girdiana,Control,1,10.4,23.12527778,,,7.3,,,,,11.4,43.65486111,,,,10.1,13.6,60.70569444,,,,,4.6,53.39680556,11,45.91388889,11.5,MISSING,,,,,,,,,,,,,,,,,,,,,,,
V57-96.10,V57-96,vulpina,Control,1,10.3,17.26555556,,,10.7,,,,,11.7,45.50256944,,,,,13,45.89090278,6.8,,,,8.4,64.86951389,13.6,52.29708333,10.8,MISSING,,,,,,,,,,,,,,,,,,,,,,,
V57-96.5,V57-96,vulpina,Drought,1,7.8,16.14916667,,,13,,,,,12.1,36.07208333,,,,12.8,18.8,32.81493056,,,,11.6,10.1,40.25902778,14.7,31.82791667,10.7,MISSING,,,,,,,,,,,,,,,,,,,,,,,
V60-96.3,V60-96,vulpina,Drought,1,8.1,22.3175,,,7.7,,,,,11,71.74368056,,,10.8,8.9,10.7,28.48513889,,,,,6.4,64.24951389,13.2,21.20104167,13.3,MISSING,,,,,,,,,,,,,,,,,,,,,,,
V60-96.8,V60-96,vulpina,Control,1,,,,,,,,,,,not enough leaves,,,5.34,10,13.1,82.92013889,,,,,4.8,59.99104167,10,60.32111111,11.4,MISSING,,,,,,,,,,,,,,,,,,,,,,,
Vru42.1,Vru42,rupestris,Drought,1,9.2,13.06861111,,,9.8,,,,,11.8,32.60020833,,,11.3,9.5,,MISSING,6.2,,,,8.8,27.61347222,16.5,27.85888889,12.9,MISSING,,,,,,,,,,,,,,,,,,,,,,,
Vru42.10,Vru42,rupestris,Control,1,11,11.25055556,,,9.7,,,,,13.6,32.46743056,,,8.42,10.1,16,46.46993056,,,,,6.8,20.43520833,12,MISSING,12.9,26.3525,,,,,,,,,,,,,,,,,,,,,,,
1149.3,1149,treleasei,Drought,2,,,13.8,50.55611111,8.6,,,,,13.2,49.88597222,,,14.2,8.7,15.5,36.55736111,,,,,,,,,15,MISSING,8.8,50.45590278,16.5,45.439375,15,38.53326389,,,,,,,,,,,,,,,,,
1149.8,1149,treleasei,Control,2,,,12,12.91777778,9.6,,,,,12,59.50368056,,,9.4,8.5,14.5,66.04013889,,,,,,,,,,,7.4,55.21986111,10.9,40.03118056,12,44.46236111,,,,,,,,,,,,,,,,,
2214.4.4,2214.4,bloodworthiana,Drought,2,,,9.6,5.886944444,7.3,,,,,10,19.23388889,,,,7.8,16.5,23.37916667,,,,,,,,,10.5,MISSING,8.9,26.8525,11.6,23.94770833,10.5,26.69034722,,,,,,,,,,,,,,,,,
2214.4.9,2214.4,bloodworthiana,Control,2,,,11.8,38.11416667,8.7,,,,,13.5,24.70222222,,,,7.6,9.5,64.10076389,,,,,,,,,11.5,MISSING,8.1,65.48763889,7.5,60.660625,11.5,71.16368056,,,,,,,,,,,,,,,,,
255189.01.2,255189.01,riparia,Drought,2,,,9.8,97.05416667,7.8,,,,,9.5,91.36958333,,,,5.4,11,86.33534722,,,,,,,,,11.5,66.85576389,9.5,102.1574306,11.4,63.17777778,11.5,67.09722222,,,,,,,,,,,,,,,,,
255189.01.9,255189.01,riparia,Control,2,,,9.6,65.86833333,9.1,,,,,11.5,55.10305556,,,,7.4,13,80.19375,,,,,,,,,,,5.4,81.641875,11.2,59.24895833,11.5,59.16444444,,,,,,,,,,,,,,,,,
588155.01.1,588155.01,palmata,Drought,2,,,11.7,15.28,9.4,,,,,9.8,26.15,,,,9.6,16.5,24.43194444,,,,,,,,,,,10.5,34.55909722,13,28.09923611,17.7,21.56916667,,,,,,,,,,,,,,,,,
588155.01.10,588155.01,palmata,Control,2,,,10.9,28.90972222,12.5,,,,,13.7,22.80083333,,,,7.8,15.5,33.02243056,,,,,,,,,11,MISSING,10.2,37.62506944,10.4,35.58951389,11,32.99868056,,,,,,,,,,,,,,,,,
9018.3,9018,acerifolia,Drought,2,,,10.2,62.49277778,8.2,,,,,9.5,59.73166667,,,9.5,7.2,10.5,52.70770833,,,,,,,,,14.5,MISSING,8.3,50.17895833,13.2,MISSING,14.5,42.22166667,,,,,,,,,,,,,,,,,
9018.8,9018,acerifolia,Control,2,,,10.9,33.30666667,8.3,,,,,10,55.40881944,,,7.8,6.7,15,80.44493056,,,,,,,,,,,6.4,51.67430556,9.6,60.30756944,11.5,59.34645833,,,,,,,,,,,,,,,,,
9025.10,9025,cinerea,Control,2,,,10.4,31.21305556,10.6,,,,,8.9,47.04625,,,,7.4,12,41.99229167,,,,,,,,,10.5,MISSING,6.1,155.7073611,10.2,101.7201389,10.5,112.6086806,,,,,,,,,,,,,,,,,
