ID;Genotype;Treatment;Date;LWP;SWP;PD;LWP.area;SWP.area;PD.area
OCK1-S02.1;OCK1-S02;Drought;11.10;13,000;NA;NA;89.85027778;NA;NA
OCK1-S02.6;OCK1-S02;Control;11.10;11,200;NA;NA;127.3947222;NA;NA
SC2.4;SC2;Drought;11.10;11,200;NA;NA;86.83361111;NA;NA
SC2.8;SC2;Control;11.10;9,000;NA;NA;61.97944444;NA;NA
T48.1;T48;Drought;11.10;10,700;NA;NA;45.37138889;NA;NA
T52.10;T52;Control;11.10;10,100;NA;NA;68.55694444;NA;NA
T52.4;T52;Drought;11.10;12,500;NA;NA;68.58583333;NA;NA
TX6704.5;TX6704;Drought;11.10;14,600;NA;NA;58.43055556;NA;NA
TX6704.8;TX6704;Control;11.10;11,400;NA;NA;55.34555556;NA;NA
TXNM0821.2;TXNM0821;Drought;11.10;11,600;NA;NA;95.31805556;NA;NA
TXNM0821.9;TXNM0821;Control;11.10;10,000;NA;NA;105.0425;NA;NA
UT12-075.3;UT12-075;Drought;11.10;9,900;NA;NA;5.758888889;NA;NA
UT12-075.8;UT12-075;Control;11.10;12,100;NA;NA;64.74916667;NA;NA
V57-96.8;V57-96;Control;11.10;14,500;NA;NA;68.16666667;NA;NA
Vru42.2;Vru42;Drought;11.10;12,300;NA;NA;36.4;NA;NA
1149.1;1149;Drought;11.11;9,000;NA;NA;23.59888889;NA;NA
1149.6;1149;Control;11.11;10,000;NA;NA;22.43222222;NA;NA
2214.4.2;2214.4;Drought;11.11;12,000;NA;NA;14.73611111;NA;NA
2214.4.7;2214.4;Control;11.11;10,500;NA;NA;14.50861111;NA;NA
255189.01.4;255189.01;Drought;11.11;7,000;NA;NA;14.32555556;NA;NA
255189.01.6;255189.01;Control;11.11;8,000;NA;NA;38.88305556;NA;NA
2970.6;2970;Drought;11.11;8,500;NA;NA;14.17138889;NA;NA
588155.01.5;588155.01;Drought;11.11;10,000;NA;NA;12.42833333;NA;NA
588155.01.6;588155.01;Control;11.11;9,500;NA;NA;6.895555556;NA;NA
9018.1;9018;Drought;11.11;9,500;NA;NA;17.58388889;NA;NA
9018.9;9018;Control;11.11;9,000;NA;NA;24.24166667;NA;NA
9025.1;9025;Drought;11.11;8,500;NA;NA;11.6475;NA;NA
